,Date,User.id,Verified,User Name,Tweet,Location,Source,Likes,Followers,Following,Retweets
0,2020-10-29 23:39:45,1321959939821113344,False,pqpolitics,"Oops.

“In this role you can be skewered for a trivial thing. In today’s media world, it’s fundamentally unfair. fa… https://t.co/xP1MKz467r","Vancouver, BC",Twitter Web App,1,6350,6681,0
1,2020-10-29 23:37:50,1321959458629509120,False,pqpolitics,"Denial and Gaslighting. It's not just Christy Clark &amp; John Horgan.

""We are proud of who we are, we are proud of wh… https://t.co/xVVV2FVBKl","Vancouver, BC",Twitter Web App,0,6350,6681,0
2,2020-10-29 23:35:54,1321958972060962816,False,pqpolitics,"“It was not because of anything that you did or I did, we gave it our level best and it did not work out"" Andrew  W… https://t.co/JFssMWgvDt","Vancouver, BC",Twitter Web App,0,6350,6681,0
3,2020-10-29 23:33:39,1321958407620841472,False,pqpolitics,"LMAO. Weak Platform. Weak Leader. #Gaslighting his #bcliberals caucus

Will it work?

Are they that dumb?

""Wilkins… https://t.co/emIZz4LTC7","Vancouver, BC",Twitter Web App,2,6350,6681,0
4,2020-10-29 23:26:05,1321956503255830528,False,pqpolitics,@theBreakerNews @bobmackin @bcliberals @Wilkinson4BC What is #Gaslighting? (and 5 Tips to Deal With It)… https://t.co/yAtoFsQx6V,"Vancouver, BC",Twitter Web App,0,6350,6681,0
5,2020-10-29 22:59:06,1321949713067773952,False,pqpolitics,"DENIAL. 

Out of touch Andrew Wilkinson gaslights the few #bcliberals caucus members still left from his disasterou… https://t.co/9YOxCxwVcg","Vancouver, BC",Twitter Web App,0,6350,6681,0
6,2020-10-29 22:12:03,1321937870475571200,True,CastanetNews,"234 new cases, 1 death (BC)#bcpoli #BCelxn2020 https://t.co/AnIaOH570W","Kelowna, BC",Castanet,0,42703,8410,0
7,2020-10-29 22:05:03,1321936108180152321,False,straightnews,"Tim Louis: This B.C. NDP victory spells h-o-p-e #BCelxn2020 #BCpoli #BCNDP #BCLiberals #BCGreens #BritishColumbia
https://t.co/VuWSc2VAt8",Vancouver,Hootsuite Inc.,1,12446,2598,0
8,2020-10-29 22:00:05,1321934858856390657,True,CastanetNews,B.C. COVID-19 update (BC)#bcpoli #BCelxn2020 https://t.co/AnIaOGNw9o,"Kelowna, BC",Castanet,0,42703,8410,0
9,2020-10-29 21:22:28,1321925394438631425,False,WestcoastWood,"@DouglasTodd @TheEconomist Yes I read this as well this week. Did you catch any of my #BCelxn2020 coverage on this matter, Doug?",#Vancouver and #SurreyBC,Twitter Web App,0,1636,998,0
10,2020-10-29 21:16:31,1321923894769446913,False,BoKo99364461,"@Fraserhealth @jjhorgan Hold @jjhorgan and @bcndp  accountable for his unnecessary power grab election. 

#COVID19BC #BCelxn2020 #bcpoli",,Twitter Web App,0,0,3,0
11,2020-10-29 21:07:09,1321921539374108672,False,khar1958,Yes to these 3. Three climate priorities for B.C.’s new majority government — #bcpoli #BCelxn2020 @Pembina https://t.co/dX2BWYEfoq,Vancouver,Twitter Web App,1,2962,684,0
12,2020-10-29 20:00:00,1321904638615003136,True,mario_canseco,The BC Liberals failed because their efforts to pin the BC NDP into a corner on the decision to call an election we… https://t.co/z92JdtxalT,"Vancouver, BC",Twitter Web App,15,7736,4636,3
13,2020-10-29 19:42:00,1321900108548435968,True,TheTyee,The B.C. snap election who? Is it just me or does that feel like it was ages ago? Catch up on our #BCElxn2020 tag h… https://t.co/8DDySdh16V,Vancouver,TweetDeck,3,61426,2023,0
14,2020-10-29 19:12:22,1321892653055713286,False,RadioNLNews,The Mayor of #AshcroftBC is eager to see how the @bcndp will fulfill a promise to keep her community's emergency ro… https://t.co/AAe4xzzsq1,Kamloops,TweetDeck,1,7203,2133,0
15,2020-10-29 19:09:09,1321891842980413440,False,thenarwhalca,"“The overall consciousness around the #climate crisis, and the action we urgently need to take on it, was probably… https://t.co/b87ZF2aqB5",,Twitter Web App,18,18736,1470,11
16,2020-10-29 19:06:18,1321891124957474816,False,thenarwhalca,The Woodfibre #LNG export facility would see Liquified #naturalgas offloaded from floating storage tanks near Squam… https://t.co/g32Uob3aV7,,Twitter Web App,1,18736,1470,2
